,filename,n_objects,class,split,prompt_notation,description
230,345.jpg,63,strawberries,test,a strawberry,"Small, heart-shaped objects, bright red with tiny seeds, smooth and slightly bumpy texture."
231,346.jpg,11,strawberries,test,a strawberry,"Small, heart-shaped objects, bright red with tiny seeds, smooth and slightly bumpy texture."
232,347.jpg,41,strawberries,test,a strawberry,"Small, heart-shaped objects, bright red with tiny seeds, smooth and slightly bumpy texture."
233,348.jpg,27,strawberries,test,a strawberry,"Small, heart-shaped objects, bright red with tiny seeds, smooth and slightly bumpy texture."
234,349.jpg,39,strawberries,test,a strawberry,"Small, heart-shaped objects, bright red with tiny seeds, smooth and slightly bumpy texture."
235,3493.jpg,45,red beans,test,a red bean,"Small, oval-shaped objects, dark red color, with a smooth, slightly shiny texture."
236,3494.jpg,37,red beans,test,a red bean,"Small, oval-shaped objects, dark red color, with a smooth, slightly shiny texture."
237,3495.jpg,107,red beans,test,a red bean,"Small, oval-shaped objects, dark red color, with a smooth, slightly shiny texture."
238,3496.jpg,103,red beans,test,a red bean,"Small, oval-shaped objects, dark red color, with a smooth, slightly shiny texture."
239,3497.jpg,161,red beans,test,a red bean,"Small, oval-shaped objects, dark red color, with a smooth, slightly shiny texture."
240,3498.jpg,96,red beans,test,a red bean,"Small, oval-shaped objects, dark red color, with a smooth, slightly shiny texture."
241,3499.jpg,91,red beans,test,a red bean,"Small, oval-shaped objects, dark red color, with a smooth, slightly shiny texture."
242,350.jpg,17,strawberries,test,a strawberry,"Small, heart-shaped objects, bright red with tiny seeds, smooth and slightly bumpy texture."
243,3500.jpg,15,red beans,test,a red bean,"Small, oval-shaped objects, dark red color, with a smooth, slightly shiny texture."
244,3501.jpg,60,red beans,test,a red bean,"Small, oval-shaped objects, dark red color, with a smooth, slightly shiny texture."
245,3502.jpg,70,red beans,test,a red bean,"Small, oval-shaped objects, dark red color, with a smooth, slightly shiny texture."
246,351.jpg,41,strawberries,test,a strawberry,"Small, heart-shaped objects, bright red with tiny seeds, smooth and slightly bumpy texture."
247,3643.jpg,59,cashew nuts,test,a cashew nut,"Curved, crescent-shaped objects, typically light beige, with a smooth, slightly oily texture"
248,3644.jpg,13,cashew nuts,test,a cashew nut,"Curved, crescent-shaped objects, typically light beige, with a smooth, slightly oily texture"
249,3645.jpg,60,cashew nuts,test,a cashew nut,"Curved, crescent-shaped objects, typically light beige, with a smooth, slightly oily texture"
250,3646.jpg,15,cashew nuts,test,a cashew nut,"Curved, crescent-shaped objects, typically light beige, with a smooth, slightly oily texture"
251,3647.jpg,87,cashew nuts,test,a cashew nut,"Curved, crescent-shaped objects, typically light beige, with a smooth, slightly oily texture"
252,3648.jpg,35,cashew nuts,test,a cashew nut,"Curved, crescent-shaped objects, typically light beige, with a smooth, slightly oily texture"
253,3649.jpg,35,cashew nuts,test,a cashew nut,"Curved, crescent-shaped objects, typically light beige, with a smooth, slightly oily texture"
254,3650.jpg,14,cashew nuts,test,a cashew nut,"Curved, crescent-shaped objects, typically light beige, with a smooth, slightly oily texture"
255,3651.jpg,11,cashew nuts,test,a cashew nut,"Curved, crescent-shaped objects, typically light beige, with a smooth, slightly oily texture"
256,3652.jpg,46,cashew nuts,test,a cashew nut,"Curved, crescent-shaped objects, typically light beige, with a smooth, slightly oily texture"
257,3653.jpg,65,cashew nuts,test,a cashew nut,"Curved, crescent-shaped objects, typically light beige, with a smooth, slightly oily texture"
258,3655.jpg,13,cashew nuts,test,a cashew nut,"Curved, crescent-shaped objects, typically light beige, with a smooth, slightly oily texture"
259,3656.jpg,45,cashew nuts,test,a cashew nut,"Curved, crescent-shaped objects, typically light beige, with a smooth, slightly oily texture"
260,3657.jpg,24,cashew nuts,test,a cashew nut,"Curved, crescent-shaped objects, typically light beige, with a smooth, slightly oily texture"
261,3658.jpg,36,cashew nuts,test,a cashew nut,"Curved, crescent-shaped objects, typically light beige, with a smooth, slightly oily texture"
262,3659.jpg,41,cashew nuts,test,a cashew nut,"Curved, crescent-shaped objects, typically light beige, with a smooth, slightly oily texture"
263,3693.jpg,36,candy pieces,test,a candy piece,"Small, colorful objects with various shapes, smooth or textured surfaces, often sugary or hard."
264,3694.jpg,34,candy pieces,test,a candy piece,"Small, colorful objects with various shapes, smooth or textured surfaces, often sugary or hard."
265,3695.jpg,16,candy pieces,test,a candy piece,"Small, colorful objects with various shapes, smooth or textured surfaces, often sugary or hard."
266,3696.jpg,8,candy pieces,test,a candy piece,"Small, colorful objects with various shapes, smooth or textured surfaces, often sugary or hard."
267,3697.jpg,11,candy pieces,test,a candy piece,"Small, colorful objects with various shapes, smooth or textured surfaces, often sugary or hard."
268,3698.jpg,111,candy pieces,test,a candy piece,"Small, colorful objects with various shapes, smooth or textured surfaces, often sugary or hard."
269,4.jpg,10,hot air balloons,test,a hot air balloon,"Round, inflated object with bright colors, often striped, smooth fabric surface, and a basket underneath."
270,4061.jpg,95,marbles,test,a marble,"Small, round objects, smooth and glossy, often transparent or brightly colored with swirling patterns."
271,4062.jpg,275,marbles,test,a marble,"Small, round objects, smooth and glossy, often transparent or brightly colored with swirling patterns."
272,4063.jpg,11,marbles,test,a marble,"Small, round objects, smooth and glossy, often transparent or brightly colored with swirling patterns."
273,4064.jpg,119,marbles,test,a marble,"Small, round objects, smooth and glossy, often transparent or brightly colored with swirling patterns."
274,4065.jpg,37,marbles,test,a marble,"Small, round objects, smooth and glossy, often transparent or brightly colored with swirling patterns."
275,4066.jpg,9,marbles,test,a marble,"Small, round objects, smooth and glossy, often transparent or brightly colored with swirling patterns."
276,4067.jpg,42,marbles,test,a marble,"Small, round objects, smooth and glossy, often transparent or brightly colored with swirling patterns."
277,4068.jpg,10,marbles,test,a marble,"Small, round objects, smooth and glossy, often transparent or brightly colored with swirling patterns."
278,4069.jpg,118,marbles,test,a marble,"Small, round objects, smooth and glossy, often transparent or brightly colored with swirling patterns."
279,4070.jpg,76,marbles,test,a marble,"Small, round objects, smooth and glossy, often transparent or brightly colored with swirling patterns."
280,4071.jpg,48,marbles,test,a marble,"Small, round objects, smooth and glossy, often transparent or brightly colored with swirling patterns."
281,4072.jpg,11,marbles,test,a marble,"Small, round objects, smooth and glossy, often transparent or brightly colored with swirling patterns."
282,4073.jpg,25,marbles,test,a marble,"Small, round objects, smooth and glossy, often transparent or brightly colored with swirling patterns."
283,4074.jpg,23,marbles,test,a marble,"Small, round objects, smooth and glossy, often transparent or brightly colored with swirling patterns."
284,4077.jpg,221,marbles,test,a marble,"Small, round objects, smooth and glossy, often transparent or brightly colored with swirling patterns."
285,4078.jpg,58,marbles,test,a marble,"Small, round objects, smooth and glossy, often transparent or brightly colored with swirling patterns."
286,4079.jpg,24,marbles,test,a marble,"Small, round objects, smooth and glossy, often transparent or brightly colored with swirling patterns."
287,4080.jpg,54,marbles,test,a marble,"Small, round objects, smooth and glossy, often transparent or brightly colored with swirling patterns."
288,4082.jpg,108,marbles,test,a marble,"Small, round objects, smooth and glossy, often transparent or brightly colored with swirling patterns."
289,4083.jpg,94,marbles,test,a marble,"Small, round objects, smooth and glossy, often transparent or brightly colored with swirling patterns."
290,4084.jpg,12,marbles,test,a marble,"Small, round objects, smooth and glossy, often transparent or brightly colored with swirling patterns."
291,4085.jpg,86,marbles,test,a marble,"Small, round objects, smooth and glossy, often transparent or brightly colored with swirling patterns."
292,4086.jpg,12,marbles,test,a marble,"Small, round objects, smooth and glossy, often transparent or brightly colored with swirling patterns."
293,4087.jpg,118,marbles,test,a marble,"Small, round objects, smooth and glossy, often transparent or brightly colored with swirling patterns."
294,4088.jpg,28,marbles,test,a marble,"Small, round objects, smooth and glossy, often transparent or brightly colored with swirling patterns."
295,4089.jpg,59,marbles,test,a marble,"Small, round objects, smooth and glossy, often transparent or brightly colored with swirling patterns."
296,4110.jpg,12,finger foods,test,a piece of finger food,"Small, bite-sized objects, varied shapes and textures, often crispy or soft, typically served on trays."
297,4111.jpg,24,finger foods,test,a piece of finger food,"Small, bite-sized objects, varied shapes and textures, often crispy or soft, typically served on trays."
298,4112.jpg,11,finger foods,test,a piece of finger food,"Small, bite-sized objects, varied shapes and textures, often crispy or soft, typically served on trays."
299,4113.jpg,37,finger foods,test,a piece of finger food,"Small, bite-sized objects, varied shapes and textures, often crispy or soft, typically served on trays."
300,4114.jpg,12,finger foods,test,a piece of finger food,"Small, bite-sized objects, varied shapes and textures, often crispy or soft, typically served on trays."
301,4115.jpg,8,finger foods,test,a piece of finger food,"Small, bite-sized objects, varied shapes and textures, often crispy or soft, typically served on trays."
302,4116.jpg,15,finger foods,test,a piece of finger food,"Small, bite-sized objects, varied shapes and textures, often crispy or soft, typically served on trays."
303,4118.jpg,13,finger foods,test,a piece of finger food,"Small, bite-sized objects, varied shapes and textures, often crispy or soft, typically served on trays."
304,4119.jpg,12,finger foods,test,a piece of finger food,"Small, bite-sized objects, varied shapes and textures, often crispy or soft, typically served on trays."
305,4120.jpg,46,finger foods,test,a piece of finger food,"Small, bite-sized objects, varied shapes and textures, often crispy or soft, typically served on trays."
306,4121.jpg,10,finger foods,test,a piece of finger food,"Small, bite-sized objects, varied shapes and textures, often crispy or soft, typically served on trays."
307,4122.jpg,12,finger foods,test,a piece of finger food,"Small, bite-sized objects, varied shapes and textures, often crispy or soft, typically served on trays."
308,4123.jpg,13,finger foods,test,a piece of finger food,"Small, bite-sized objects, varied shapes and textures, often crispy or soft, typically served on trays."
309,4170.jpg,34,potato chips,test,a potato chip,"Thin, crispy objects, golden-yellow with rough texture, or packaged in a shiny, crinkled bag."
310,4173.jpg,11,potato chips,test,a potato chip,"Thin, crispy objects, golden-yellow with rough texture, or packaged in a shiny, crinkled bag."
311,4174.jpg,36,potato chips,test,a potato chip,"Thin, crispy objects, golden-yellow with rough texture, or packaged in a shiny, crinkled bag."
312,4175.jpg,21,potato chips,test,a potato chip,"Thin, crispy objects, golden-yellow with rough texture, or packaged in a shiny, crinkled bag."
313,4283.jpg,65,green peas,test,a green pea,"Small, round objects, bright green in color, with a smooth, slightly firm texture."
314,4284.jpg,91,green peas,test,a green pea,"Small, round objects, bright green in color, with a smooth, slightly firm texture."
315,4285.jpg,115,green peas,test,a green pea,"Small, round objects, bright green in color, with a smooth, slightly firm texture."
316,4286.jpg,333,green peas,test,a green pea,"Small, round objects, bright green in color, with a smooth, slightly firm texture."
317,4287.jpg,27,green peas,test,a green pea,"Small, round objects, bright green in color, with a smooth, slightly firm texture."
318,4288.jpg,118,green peas,test,a green pea,"Small, round objects, bright green in color, with a smooth, slightly firm texture."
319,4289.jpg,43,green peas,test,a green pea,"Small, round objects, bright green in color, with a smooth, slightly firm texture."
320,4290.jpg,25,green peas,test,a green pea,"Small, round objects, bright green in color, with a smooth, slightly firm texture."
321,4291.jpg,323,green peas,test,a green pea,"Small, round objects, bright green in color, with a smooth, slightly firm texture."
322,4292.jpg,11,green peas,test,a green pea,"Small, round objects, bright green in color, with a smooth, slightly firm texture."
323,4294.jpg,221,green peas,test,a green pea,"Small, round objects, bright green in color, with a smooth, slightly firm texture."
324,4295.jpg,110,green peas,test,a green pea,"Small, round objects, bright green in color, with a smooth, slightly firm texture."
325,4296.jpg,32,green peas,test,a green pea,"Small, round objects, bright green in color, with a smooth, slightly firm texture."
326,4297.jpg,108,green peas,test,a green pea,"Small, round objects, bright green in color, with a smooth, slightly firm texture."
327,4298.jpg,44,green peas,test,a green pea,"Small, round objects, bright green in color, with a smooth, slightly firm texture."
328,4300.jpg,83,green peas,test,a green pea,"Small, round objects, bright green in color, with a smooth, slightly firm texture."
329,4301.jpg,44,green peas,test,a green pea,"Small, round objects, bright green in color, with a smooth, slightly firm texture."
330,4302.jpg,131,green peas,test,a green pea,"Small, round objects, bright green in color, with a smooth, slightly firm texture."
331,4303.jpg,191,green peas,test,a green pea,"Small, round objects, bright green in color, with a smooth, slightly firm texture."
332,4304.jpg,15,green peas,test,a green pea,"Small, round objects, bright green in color, with a smooth, slightly firm texture."
333,4305.jpg,77,green peas,test,a green pea,"Small, round objects, bright green in color, with a smooth, slightly firm texture."
334,4405.jpg,12,hot air balloons,test,a hot air balloon,"Round, inflated object with bright colors, often striped, smooth fabric surface, and a basket underneath."
335,4406.jpg,12,hot air balloons,test,a hot air balloon,"Round, inflated object with bright colors, often striped, smooth fabric surface, and a basket underneath."
336,4407.jpg,69,hot air balloons,test,a hot air balloon,"Round, inflated object with bright colors, often striped, smooth fabric surface, and a basket underneath."
337,4408.jpg,14,hot air balloons,test,a hot air balloon,"Round, inflated object with bright colors, often striped, smooth fabric surface, and a basket underneath."
338,4409.jpg,9,hot air balloons,test,a hot air balloon,"Round, inflated object with bright colors, often striped, smooth fabric surface, and a basket underneath."
339,4412.jpg,10,hot air balloons,test,a hot air balloon,"Round, inflated object with bright colors, often striped, smooth fabric surface, and a basket underneath."
340,4413.jpg,11,hot air balloons,test,a hot air balloon,"Round, inflated object with bright colors, often striped, smooth fabric surface, and a basket underneath."
341,4414.jpg,11,hot air balloons,test,a hot air balloon,"Round, inflated object with bright colors, often striped, smooth fabric surface, and a basket underneath."
342,4415.jpg,16,hot air balloons,test,a hot air balloon,"Round, inflated object with bright colors, often striped, smooth fabric surface, and a basket underneath."
343,4416.jpg,13,hot air balloons,test,a hot air balloon,"Round, inflated object with bright colors, often striped, smooth fabric surface, and a basket underneath."
344,4417.jpg,63,hot air balloons,test,a hot air balloon,"Round, inflated object with bright colors, often striped, smooth fabric surface, and a basket underneath."
345,4418.jpg,30,hot air balloons,test,a hot air balloon,"Round, inflated object with bright colors, often striped, smooth fabric surface, and a basket underneath."
346,4419.jpg,15,hot air balloons,test,a hot air balloon,"Round, inflated object with bright colors, often striped, smooth fabric surface, and a basket underneath."
347,4421.jpg,8,hot air balloons,test,a hot air balloon,"Round, inflated object with bright colors, often striped, smooth fabric surface, and a basket underneath."
348,4422.jpg,10,hot air balloons,test,a hot air balloon,"Round, inflated object with bright colors, often striped, smooth fabric surface, and a basket underneath."
349,4423.jpg,12,hot air balloons,test,a hot air balloon,"Round, inflated object with bright colors, often striped, smooth fabric surface, and a basket underneath."
350,4874.jpg,68,strawberries,test,a strawberry,"Small, heart-shaped objects, bright red with tiny seeds, smooth and slightly bumpy texture."
351,4875.jpg,40,strawberries,test,a strawberry,"Small, heart-shaped objects, bright red with tiny seeds, smooth and slightly bumpy texture."
352,4876.jpg,42,strawberries,test,a strawberry,"Small, heart-shaped objects, bright red with tiny seeds, smooth and slightly bumpy texture."
353,4877.jpg,44,strawberries,test,a strawberry,"Small, heart-shaped objects, bright red with tiny seeds, smooth and slightly bumpy texture."
354,4878.jpg,126,strawberries,test,a strawberry,"Small, heart-shaped objects, bright red with tiny seeds, smooth and slightly bumpy texture."
355,4879.jpg,76,strawberries,test,a strawberry,"Small, heart-shaped objects, bright red with tiny seeds, smooth and slightly bumpy texture."
356,4880.jpg,32,strawberries,test,a strawberry,"Small, heart-shaped objects, bright red with tiny seeds, smooth and slightly bumpy texture."
357,4881.jpg,35,strawberries,test,a strawberry,"Small, heart-shaped objects, bright red with tiny seeds, smooth and slightly bumpy texture."
358,4882.jpg,28,strawberries,test,a strawberry,"Small, heart-shaped objects, bright red with tiny seeds, smooth and slightly bumpy texture."
359,4883.jpg,15,strawberries,test,a strawberry,"Small, heart-shaped objects, bright red with tiny seeds, smooth and slightly bumpy texture."
360,4884.jpg,101,strawberries,test,a strawberry,"Small, heart-shaped objects, bright red with tiny seeds, smooth and slightly bumpy texture."
361,4885.jpg,11,strawberries,test,a strawberry,"Small, heart-shaped objects, bright red with tiny seeds, smooth and slightly bumpy texture."
362,4886.jpg,37,strawberries,test,a strawberry,"Small, heart-shaped objects, bright red with tiny seeds, smooth and slightly bumpy texture."
363,4887.jpg,32,strawberries,test,a strawberry,"Small, heart-shaped objects, bright red with tiny seeds, smooth and slightly bumpy texture."
364,4888.jpg,14,strawberries,test,a strawberry,"Small, heart-shaped objects, bright red with tiny seeds, smooth and slightly bumpy texture."
365,4889.jpg,27,strawberries,test,a strawberry,"Small, heart-shaped objects, bright red with tiny seeds, smooth and slightly bumpy texture."
366,4890.jpg,64,strawberries,test,a strawberry,"Small, heart-shaped objects, bright red with tiny seeds, smooth and slightly bumpy texture."
367,4891.jpg,27,strawberries,test,a strawberry,"Small, heart-shaped objects, bright red with tiny seeds, smooth and slightly bumpy texture."
368,4892.jpg,50,strawberries,test,a strawberry,"Small, heart-shaped objects, bright red with tiny seeds, smooth and slightly bumpy texture."
369,4893.jpg,28,strawberries,test,a strawberry,"Small, heart-shaped objects, bright red with tiny seeds, smooth and slightly bumpy texture."
370,4894.jpg,11,strawberries,test,a strawberry,"Small, heart-shaped objects, bright red with tiny seeds, smooth and slightly bumpy texture."
371,4895.jpg,8,strawberries,test,a strawberry,"Small, heart-shaped objects, bright red with tiny seeds, smooth and slightly bumpy texture."
372,4896.jpg,83,strawberries,test,a strawberry,"Small, heart-shaped objects, bright red with tiny seeds, smooth and slightly bumpy texture."
373,4897.jpg,35,strawberries,test,a strawberry,"Small, heart-shaped objects, bright red with tiny seeds, smooth and slightly bumpy texture."
374,4898.jpg,51,strawberries,test,a strawberry,"Small, heart-shaped objects, bright red with tiny seeds, smooth and slightly bumpy texture."
375,4900.jpg,14,strawberries,test,a strawberry,"Small, heart-shaped objects, bright red with tiny seeds, smooth and slightly bumpy texture."
376,4901.jpg,16,strawberries,test,a strawberry,"Small, heart-shaped objects, bright red with tiny seeds, smooth and slightly bumpy texture."
377,4903.jpg,18,strawberries,test,a strawberry,"Small, heart-shaped objects, bright red with tiny seeds, smooth and slightly bumpy texture."
378,4904.jpg,11,strawberries,test,a strawberry,"Small, heart-shaped objects, bright red with tiny seeds, smooth and slightly bumpy texture."
379,4905.jpg,250,strawberries,test,a strawberry,"Small, heart-shaped objects, bright red with tiny seeds, smooth and slightly bumpy texture."
380,4906.jpg,78,strawberries,test,a strawberry,"Small, heart-shaped objects, bright red with tiny seeds, smooth and slightly bumpy texture."
381,4908.jpg,24,strawberries,test,a strawberry,"Small, heart-shaped objects, bright red with tiny seeds, smooth and slightly bumpy texture."
382,4909.jpg,16,strawberries,test,a strawberry,"Small, heart-shaped objects, bright red with tiny seeds, smooth and slightly bumpy texture."
383,4910.jpg,14,strawberries,test,a strawberry,"Small, heart-shaped objects, bright red with tiny seeds, smooth and slightly bumpy texture."
384,4911.jpg,30,strawberries,test,a strawberry,"Small, heart-shaped objects, bright red with tiny seeds, smooth and slightly bumpy texture."
385,4912.jpg,39,strawberries,test,a strawberry,"Small, heart-shaped objects, bright red with tiny seeds, smooth and slightly bumpy texture."
386,4913.jpg,10,strawberries,test,a strawberry,"Small, heart-shaped objects, bright red with tiny seeds, smooth and slightly bumpy texture."
387,4915.jpg,87,strawberries,test,a strawberry,"Small, heart-shaped objects, bright red with tiny seeds, smooth and slightly bumpy texture."
388,4916.jpg,91,strawberries,test,a strawberry,"Small, heart-shaped objects, bright red with tiny seeds, smooth and slightly bumpy texture."
389,4917.jpg,37,strawberries,test,a strawberry,"Small, heart-shaped objects, bright red with tiny seeds, smooth and slightly bumpy texture."
390,4918.jpg,95,strawberries,test,a strawberry,"Small, heart-shaped objects, bright red with tiny seeds, smooth and slightly bumpy texture."
391,4919.jpg,31,strawberries,test,a strawberry,"Small, heart-shaped objects, bright red with tiny seeds, smooth and slightly bumpy texture."
392,4920.jpg,20,strawberries,test,a strawberry,"Small, heart-shaped objects, bright red with tiny seeds, smooth and slightly bumpy texture."
393,4921.jpg,13,strawberries,test,a strawberry,"Small, heart-shaped objects, bright red with tiny seeds, smooth and slightly bumpy texture."
394,4922.jpg,8,strawberries,test,a strawberry,"Small, heart-shaped objects, bright red with tiny seeds, smooth and slightly bumpy texture."
395,4923.jpg,31,strawberries,test,a strawberry,"Small, heart-shaped objects, bright red with tiny seeds, smooth and slightly bumpy texture."
396,4924.jpg,67,strawberries,test,a strawberry,"Small, heart-shaped objects, bright red with tiny seeds, smooth and slightly bumpy texture."
397,4925.jpg,142,strawberries,test,a strawberry,"Small, heart-shaped objects, bright red with tiny seeds, smooth and slightly bumpy texture."
398,4926.jpg,40,strawberries,test,a strawberry,"Small, heart-shaped objects, bright red with tiny seeds, smooth and slightly bumpy texture."
399,4927.jpg,63,strawberries,test,a strawberry,"Small, heart-shaped objects, bright red with tiny seeds, smooth and slightly bumpy texture."
400,4928.jpg,40,strawberries,test,a strawberry,"Small, heart-shaped objects, bright red with tiny seeds, smooth and slightly bumpy texture."
401,4929.jpg,36,strawberries,test,a strawberry,"Small, heart-shaped objects, bright red with tiny seeds, smooth and slightly bumpy texture."
402,4930.jpg,74,strawberries,test,a strawberry,"Small, heart-shaped objects, bright red with tiny seeds, smooth and slightly bumpy texture."
403,4931.jpg,58,strawberries,test,a strawberry,"Small, heart-shaped objects, bright red with tiny seeds, smooth and slightly bumpy texture."
404,4932.jpg,56,strawberries,test,a strawberry,"Small, heart-shaped objects, bright red with tiny seeds, smooth and slightly bumpy texture."
405,4933.jpg,54,strawberries,test,a strawberry,"Small, heart-shaped objects, bright red with tiny seeds, smooth and slightly bumpy texture."
406,4934.jpg,19,strawberries,test,a strawberry,"Small, heart-shaped objects, bright red with tiny seeds, smooth and slightly bumpy texture."
407,4935.jpg,9,strawberries,test,a strawberry,"Small, heart-shaped objects, bright red with tiny seeds, smooth and slightly bumpy texture."
408,4937.jpg,11,strawberries,test,a strawberry,"Small, heart-shaped objects, bright red with tiny seeds, smooth and slightly bumpy texture."
409,4938.jpg,58,tree logs,test,a tree log,"Cylindrical objects with rough, textured bark on the outside and smooth, wooden surface inside."
410,4939.jpg,20,tree logs,test,a tree log,"Cylindrical objects with rough, textured bark on the outside and smooth, wooden surface inside."
411,4940.jpg,31,tree logs,test,a tree log,"Cylindrical objects with rough, textured bark on the outside and smooth, wooden surface inside."
412,4941.jpg,175,tree logs,test,a tree log,"Cylindrical objects with rough, textured bark on the outside and smooth, wooden surface inside."
413,4942.jpg,56,tree logs,test,a tree log,"Cylindrical objects with rough, textured bark on the outside and smooth, wooden surface inside."
414,4943.jpg,65,tree logs,test,a tree log,"Cylindrical objects with rough, textured bark on the outside and smooth, wooden surface inside."
415,4944.jpg,49,tree logs,test,a tree log,"Cylindrical objects with rough, textured bark on the outside and smooth, wooden surface inside."
416,4945.jpg,41,tree logs,test,a tree log,"Cylindrical objects with rough, textured bark on the outside and smooth, wooden surface inside."
417,4946.jpg,71,tree logs,test,a tree log,"Cylindrical objects with rough, textured bark on the outside and smooth, wooden surface inside."
418,4947.jpg,205,tree logs,test,a tree log,"Cylindrical objects with rough, textured bark on the outside and smooth, wooden surface inside."
419,4948.jpg,18,tree logs,test,a tree log,"Cylindrical objects with rough, textured bark on the outside and smooth, wooden surface inside."
420,4949.jpg,95,tree logs,test,a tree log,"Cylindrical objects with rough, textured bark on the outside and smooth, wooden surface inside."
421,4950.jpg,33,tree logs,test,a tree log,"Cylindrical objects with rough, textured bark on the outside and smooth, wooden surface inside."
422,4951.jpg,166,tree logs,test,a tree log,"Cylindrical objects with rough, textured bark on the outside and smooth, wooden surface inside."
423,4952.jpg,247,tree logs,test,a tree log,"Cylindrical objects with rough, textured bark on the outside and smooth, wooden surface inside."
424,4953.jpg,51,tree logs,test,a tree log,"Cylindrical objects with rough, textured bark on the outside and smooth, wooden surface inside."
425,4954.jpg,29,tree logs,test,a tree log,"Cylindrical objects with rough, textured bark on the outside and smooth, wooden surface inside."
426,4955.jpg,145,tree logs,test,a tree log,"Cylindrical objects with rough, textured bark on the outside and smooth, wooden surface inside."
427,4956.jpg,102,tree logs,test,a tree log,"Cylindrical objects with rough, textured bark on the outside and smooth, wooden surface inside."
428,4957.jpg,93,tree logs,test,a tree log,"Cylindrical objects with rough, textured bark on the outside and smooth, wooden surface inside."
429,4958.jpg,118,tree logs,test,a tree log,"Cylindrical objects with rough, textured bark on the outside and smooth, wooden surface inside."
430,4959.jpg,31,tree logs,test,a tree log,"Cylindrical objects with rough, textured bark on the outside and smooth, wooden surface inside."
431,4960.jpg,29,tree logs,test,a tree log,"Cylindrical objects with rough, textured bark on the outside and smooth, wooden surface inside."
432,4961.jpg,363,tree logs,test,a tree log,"Cylindrical objects with rough, textured bark on the outside and smooth, wooden surface inside."
433,4962.jpg,30,tree logs,test,a tree log,"Cylindrical objects with rough, textured bark on the outside and smooth, wooden surface inside."
434,4963.jpg,218,tree logs,test,a tree log,"Cylindrical objects with rough, textured bark on the outside and smooth, wooden surface inside."
435,4964.jpg,51,tree logs,test,a tree log,"Cylindrical objects with rough, textured bark on the outside and smooth, wooden surface inside."
436,4965.jpg,15,tree logs,test,a tree log,"Cylindrical objects with rough, textured bark on the outside and smooth, wooden surface inside."
437,4966.jpg,46,tree logs,test,a tree log,"Cylindrical objects with rough, textured bark on the outside and smooth, wooden surface inside."
438,4967.jpg,19,tree logs,test,a tree log,"Cylindrical objects with rough, textured bark on the outside and smooth, wooden surface inside."
439,4969.jpg,109,tree logs,test,a tree log,"Cylindrical objects with rough, textured bark on the outside and smooth, wooden surface inside."
440,4970.jpg,44,tree logs,test,a tree log,"Cylindrical objects with rough, textured bark on the outside and smooth, wooden surface inside."
441,5.jpg,113,hot air balloons,test,a hot air balloon,"Round, inflated object with bright colors, often striped, smooth fabric surface, and a basket underneath."
442,5141.jpg,30,cashew nuts,test,a cashew nut,"Curved, crescent-shaped objects, typically light beige, with a smooth, slightly oily texture"
443,5142.jpg,193,cashew nuts,test,a cashew nut,"Curved, crescent-shaped objects, typically light beige, with a smooth, slightly oily texture"
444,5143.jpg,63,cashew nuts,test,a cashew nut,"Curved, crescent-shaped objects, typically light beige, with a smooth, slightly oily texture"
445,5144.jpg,87,cashew nuts,test,a cashew nut,"Curved, crescent-shaped objects, typically light beige, with a smooth, slightly oily texture"
446,5145.jpg,15,cashew nuts,test,a cashew nut,"Curved, crescent-shaped objects, typically light beige, with a smooth, slightly oily texture"
447,5147.jpg,46,cashew nuts,test,a cashew nut,"Curved, crescent-shaped objects, typically light beige, with a smooth, slightly oily texture"
448,5148.jpg,36,cashew nuts,test,a cashew nut,"Curved, crescent-shaped objects, typically light beige, with a smooth, slightly oily texture"
449,5149.jpg,111,cashew nuts,test,a cashew nut,"Curved, crescent-shaped objects, typically light beige, with a smooth, slightly oily texture"
450,5356.jpg,16,marbles,test,a marble,"Small, round objects, smooth and glossy, often transparent or brightly colored with swirling patterns."
451,5357.jpg,12,marbles,test,a marble,"Small, round objects, smooth and glossy, often transparent or brightly colored with swirling patterns."
452,5358.jpg,25,marbles,test,a marble,"Small, round objects, smooth and glossy, often transparent or brightly colored with swirling patterns."
453,5359.jpg,33,marbles,test,a marble,"Small, round objects, smooth and glossy, often transparent or brightly colored with swirling patterns."
454,5360.jpg,65,marbles,test,a marble,"Small, round objects, smooth and glossy, often transparent or brightly colored with swirling patterns."
455,5361.jpg,27,marbles,test,a marble,"Small, round objects, smooth and glossy, often transparent or brightly colored with swirling patterns."
456,5362.jpg,18,marbles,test,a marble,"Small, round objects, smooth and glossy, often transparent or brightly colored with swirling patterns."
457,5363.jpg,35,marbles,test,a marble,"Small, round objects, smooth and glossy, often transparent or brightly colored with swirling patterns."
458,5364.jpg,23,marbles,test,a marble,"Small, round objects, smooth and glossy, often transparent or brightly colored with swirling patterns."
459,5365.jpg,9,marbles,test,a marble,"Small, round objects, smooth and glossy, often transparent or brightly colored with swirling patterns."
460,5366.jpg,57,marbles,test,a marble,"Small, round objects, smooth and glossy, often transparent or brightly colored with swirling patterns."
461,5367.jpg,150,marbles,test,a marble,"Small, round objects, smooth and glossy, often transparent or brightly colored with swirling patterns."
462,5368.jpg,153,marbles,test,a marble,"Small, round objects, smooth and glossy, often transparent or brightly colored with swirling patterns."
