,Unnamed: 0,filename,n_objects,class,split,optimized_prompts,threshold,prompt_notation,predicted_counts
181,181,2280.jpg,157,apples,test_coco,"['apples', 'apple', 'fruit', 'round objects with smooth, glossy skin', 'red, green, or yellow fruits']",0.03,an apple,
182,182,2281.jpg,22,apples,test_coco,"['apples', 'apple', 'fruit', 'round objects with smooth, glossy skin', 'red, green, or yellow fruits']",0.03,an apple,
183,183,2282.jpg,47,apples,test_coco,"['apples', 'apple', 'fruit', 'round objects with smooth, glossy skin', 'red, green, or yellow fruits']",0.03,an apple,
184,184,2284.jpg,25,apples,test_coco,"['apples', 'apple', 'fruit', 'round objects with smooth, glossy skin', 'red, green, or yellow fruits']",0.03,an apple,
185,185,2285.jpg,48,apples,test_coco,"['apples', 'apple', 'fruit', 'round objects with smooth, glossy skin', 'red, green, or yellow fruits']",0.03,an apple,
186,186,2286.jpg,14,apples,test_coco,"['apples', 'apple', 'fruit', 'round objects with smooth, glossy skin', 'red, green, or yellow fruits']",0.03,an apple,
187,187,2287.jpg,195,apples,test_coco,"['apples', 'apple', 'fruit', 'round objects with smooth, glossy skin', 'red, green, or yellow fruits']",0.03,an apple,
188,188,2288.jpg,18,apples,test_coco,"['apples', 'apple', 'fruit', 'round objects with smooth, glossy skin', 'red, green, or yellow fruits']",0.03,an apple,
189,189,2607.jpg,36,deers,test,"['deers', 'deer', 'bucks', 'animals with slender legs and antlers', 'animals with brown, short fur']",0.03,a deer,
190,190,2611.jpg,18,deers,test,"['deers', 'deer', 'bucks', 'animals with slender legs and antlers', 'animals with brown, short fur']",0.03,a deer,
191,191,2612.jpg,28,deers,test,"['deers', 'deer', 'bucks', 'animals with slender legs and antlers', 'animals with brown, short fur']",0.03,a deer,
192,192,2613.jpg,15,deers,test,"['deers', 'deer', 'bucks', 'animals with slender legs and antlers', 'animals with brown, short fur']",0.03,a deer,
193,193,2614.jpg,20,deers,test,"['deers', 'deer', 'bucks', 'animals with slender legs and antlers', 'animals with brown, short fur']",0.03,a deer,
194,194,2615.jpg,9,deers,test,"['deers', 'deer', 'bucks', 'animals with slender legs and antlers', 'animals with brown, short fur']",0.03,a deer,
195,195,2617.jpg,41,deers,test,"['deers', 'deer', 'bucks', 'animals with slender legs and antlers', 'animals with brown, short fur']",0.03,a deer,
196,196,2619.jpg,47,deers,test,"['deers', 'deer', 'bucks', 'animals with slender legs and antlers', 'animals with brown, short fur']",0.03,a deer,
197,197,285.jpg,28,strawberries,test,"['strawberries', 'strawberry', 'berries', 'small, red fruits']",0.05,a strawberry,
198,198,286.jpg,10,strawberries,test,"['strawberries', 'strawberry', 'berries', 'small, red fruits']",0.05,a strawberry,
199,199,287.jpg,21,strawberries,test,"['strawberries', 'strawberry', 'berries', 'small, red fruits']",0.05,a strawberry,
200,200,288.jpg,26,strawberries,test,"['strawberries', 'strawberry', 'berries', 'small, red fruits']",0.05,a strawberry,
201,201,289.jpg,26,strawberries,test,"['strawberries', 'strawberry', 'berries', 'small, red fruits']",0.05,a strawberry,
202,202,290.jpg,13,strawberries,test,"['strawberries', 'strawberry', 'berries', 'small, red fruits']",0.05,a strawberry,
203,203,2907.jpg,28,stamps,test,"['stamps', 'stamp', 'emblems', 'small paper squares']",0.05,a stamp,
204,204,2908.jpg,33,stamps,test,"['stamps', 'stamp', 'emblems', 'small paper squares']",0.05,a stamp,
205,205,291.jpg,14,strawberries,test,"['strawberries', 'strawberry', 'berries', 'small, red fruits']",0.05,a strawberry,
206,206,2910.jpg,14,stamps,test,"['stamps', 'stamp', 'emblems', 'small paper squares']",0.05,a stamp,
207,207,2912.jpg,72,stamps,test,"['stamps', 'stamp', 'emblems', 'small paper squares']",0.05,a stamp,
208,208,2913.jpg,15,stamps,test,"['stamps', 'stamp', 'emblems', 'small paper squares']",0.05,a stamp,
209,209,2914.jpg,28,stamps,test,"['stamps', 'stamp', 'emblems', 'small paper squares']",0.05,a stamp,
210,210,2915.jpg,61,stamps,test,"['stamps', 'stamp', 'emblems', 'small paper squares']",0.05,a stamp,
211,211,2916.jpg,202,stamps,test,"['stamps', 'stamp', 'emblems', 'small paper squares']",0.05,a stamp,
212,212,2917.jpg,20,stamps,test,"['stamps', 'stamp', 'emblems', 'small paper squares']",0.05,a stamp,
213,213,2918.jpg,25,stamps,test,"['stamps', 'stamp', 'emblems', 'small paper squares']",0.05,a stamp,
214,214,292.jpg,32,strawberries,test,"['strawberries', 'strawberry', 'berries', 'small, red fruits']",0.05,a strawberry,
215,215,2920.jpg,13,stamps,test,"['stamps', 'stamp', 'emblems', 'small paper squares']",0.05,a stamp,
216,216,2921.jpg,27,stamps,test,"['stamps', 'stamp', 'emblems', 'small paper squares']",0.05,a stamp,
217,217,2922.jpg,19,stamps,test,"['stamps', 'stamp', 'emblems', 'small paper squares']",0.05,a stamp,
218,218,2923.jpg,86,stamps,test,"['stamps', 'stamp', 'emblems', 'small paper squares']",0.05,a stamp,
219,219,2924.jpg,54,stamps,test,"['stamps', 'stamp', 'emblems', 'small paper squares']",0.05,a stamp,
220,220,2925.jpg,65,stamps,test,"['stamps', 'stamp', 'emblems', 'small paper squares']",0.05,a stamp,
221,221,2926.jpg,24,stamps,test,"['stamps', 'stamp', 'emblems', 'small paper squares']",0.05,a stamp,
222,222,2927.jpg,49,stamps,test,"['stamps', 'stamp', 'emblems', 'small paper squares']",0.05,a stamp,
223,223,2928.jpg,45,stamps,test,"['stamps', 'stamp', 'emblems', 'small paper squares']",0.05,a stamp,
224,224,2929.jpg,77,stamps,test,"['stamps', 'stamp', 'emblems', 'small paper squares']",0.05,a stamp,
225,225,293.jpg,41,strawberries,test,"['strawberries', 'strawberry', 'berries', 'small, red fruits']",0.05,a strawberry,
226,226,2930.jpg,60,stamps,test,"['stamps', 'stamp', 'emblems', 'small paper squares']",0.05,a stamp,
227,227,2931.jpg,43,stamps,test,"['stamps', 'stamp', 'emblems', 'small paper squares']",0.05,a stamp,
228,228,2932.jpg,25,stamps,test,"['stamps', 'stamp', 'emblems', 'small paper squares']",0.05,a stamp,
229,229,2933.jpg,45,stamps,test,"['stamps', 'stamp', 'emblems', 'small paper squares']",0.05,a stamp,
230,230,2934.jpg,56,stamps,test,"['stamps', 'stamp', 'emblems', 'small paper squares']",0.05,a stamp,
231,231,2935.jpg,13,stamps,test,"['stamps', 'stamp', 'emblems', 'small paper squares']",0.05,a stamp,
232,232,2936.jpg,23,stamps,test,"['stamps', 'stamp', 'emblems', 'small paper squares']",0.05,a stamp,
233,233,2937.jpg,78,stamps,test,"['stamps', 'stamp', 'emblems', 'small paper squares']",0.05,a stamp,
234,234,2938.jpg,9,stamps,test,"['stamps', 'stamp', 'emblems', 'small paper squares']",0.05,a stamp,
235,235,2939.jpg,52,stamps,test,"['stamps', 'stamp', 'emblems', 'small paper squares']",0.05,a stamp,
236,236,294.jpg,124,strawberries,test,"['strawberries', 'strawberry', 'berries', 'small, red fruits']",0.05,a strawberry,
237,237,2941.jpg,17,stamps,test,"['stamps', 'stamp', 'emblems', 'small paper squares']",0.05,a stamp,
238,238,2942.jpg,25,stamps,test,"['stamps', 'stamp', 'emblems', 'small paper squares']",0.05,a stamp,
239,239,2943.jpg,29,stamps,test,"['stamps', 'stamp', 'emblems', 'small paper squares']",0.05,a stamp,
240,240,2944.jpg,68,stamps,test,"['stamps', 'stamp', 'emblems', 'small paper squares']",0.05,a stamp,
241,241,2945.jpg,14,stamps,test,"['stamps', 'stamp', 'emblems', 'small paper squares']",0.05,a stamp,
242,242,2946.jpg,12,stamps,test,"['stamps', 'stamp', 'emblems', 'small paper squares']",0.05,a stamp,
243,243,2947.jpg,36,stamps,test,"['stamps', 'stamp', 'emblems', 'small paper squares']",0.05,a stamp,
244,244,2948.jpg,11,stamps,test,"['stamps', 'stamp', 'emblems', 'small paper squares']",0.05,a stamp,
245,245,2949.jpg,24,stamps,test,"['stamps', 'stamp', 'emblems', 'small paper squares']",0.05,a stamp,
246,246,295.jpg,64,strawberries,test,"['strawberries', 'strawberry', 'berries', 'small, red fruits']",0.05,a strawberry,
247,247,2951.jpg,14,stamps,test,"['stamps', 'stamp', 'emblems', 'small paper squares']",0.05,a stamp,
248,248,2952.jpg,67,stamps,test,"['stamps', 'stamp', 'emblems', 'small paper squares']",0.05,a stamp,
249,249,2953.jpg,22,stamps,test,"['stamps', 'stamp', 'emblems', 'small paper squares']",0.05,a stamp,
250,250,2954.jpg,38,stamps,test,"['stamps', 'stamp', 'emblems', 'small paper squares']",0.05,a stamp,
251,251,2955.jpg,105,stamps,test,"['stamps', 'stamp', 'emblems', 'small paper squares']",0.05,a stamp,
252,252,2956.jpg,25,stamps,test,"['stamps', 'stamp', 'emblems', 'small paper squares']",0.05,a stamp,
253,253,296.jpg,30,strawberries,test,"['strawberries', 'strawberry', 'berries', 'small, red fruits']",0.05,a strawberry,
254,254,297.jpg,12,strawberries,test,"['strawberries', 'strawberry', 'berries', 'small, red fruits']",0.05,a strawberry,
255,255,298.jpg,33,strawberries,test,"['strawberries', 'strawberry', 'berries', 'small, red fruits']",0.05,a strawberry,
256,256,299.jpg,16,strawberries,test,"['strawberries', 'strawberry', 'berries', 'small, red fruits']",0.05,a strawberry,
257,257,3.jpg,11,hot air balloons,test,"['hot air balloons', 'hot air balloon', 'large, rounded objects with a basket underneath', 'aerial vessels with colorful fabric envelopes']",0.03,a hot air balloon,
258,258,300.jpg,33,strawberries,test,"['strawberries', 'strawberry', 'berries', 'small, red fruits']",0.05,a strawberry,
259,259,301.jpg,28,strawberries,test,"['strawberries', 'strawberry', 'berries', 'small, red fruits']",0.05,a strawberry,
260,260,302.jpg,20,strawberries,test,"['strawberries', 'strawberry', 'berries', 'small, red fruits']",0.05,a strawberry,
261,261,303.jpg,51,strawberries,test,"['strawberries', 'strawberry', 'berries', 'small, red fruits']",0.05,a strawberry,
262,262,305.jpg,11,strawberries,test,"['strawberries', 'strawberry', 'berries', 'small, red fruits']",0.05,a strawberry,
263,263,306.jpg,30,strawberries,test,"['strawberries', 'strawberry', 'berries', 'small, red fruits']",0.05,a strawberry,
264,264,307.jpg,21,strawberries,test,"['strawberries', 'strawberry', 'berries', 'small, red fruits']",0.05,a strawberry,
265,265,308.jpg,27,strawberries,test,"['strawberries', 'strawberry', 'berries', 'small, red fruits']",0.05,a strawberry,
266,266,309.jpg,113,strawberries,test,"['strawberries', 'strawberry', 'berries', 'small, red fruits']",0.05,a strawberry,
267,267,310.jpg,65,strawberries,test,"['strawberries', 'strawberry', 'berries', 'small, red fruits']",0.05,a strawberry,
268,268,311.jpg,55,strawberries,test,"['strawberries', 'strawberry', 'berries', 'small, red fruits']",0.05,a strawberry,
269,269,3111.jpg,20,crab cakes,test,"['crab cakes', 'crab cake', 'seafood patties', 'round, golden-brown patties made from crab meat and breadcrumbs']",0.03,a crab cake,
270,270,3112.jpg,10,crab cakes,test,"['crab cakes', 'crab cake', 'seafood patties', 'round, golden-brown patties made from crab meat and breadcrumbs']",0.03,a crab cake,
271,271,3114.jpg,17,crab cakes,test,"['crab cakes', 'crab cake', 'seafood patties', 'round, golden-brown patties made from crab meat and breadcrumbs']",0.03,a crab cake,
272,272,312.jpg,53,strawberries,test,"['strawberries', 'strawberry', 'berries', 'small, red fruits']",0.05,a strawberry,
273,273,313.jpg,23,strawberries,test,"['strawberries', 'strawberry', 'berries', 'small, red fruits']",0.05,a strawberry,
274,274,315.jpg,53,strawberries,test,"['strawberries', 'strawberry', 'berries', 'small, red fruits']",0.05,a strawberry,
275,275,3153.jpg,24,cashew nuts,test,"['cashew nuts', 'cashew nut', 'kernels', 'beige, curved, crescent-shaped nuts']",0.03,a cashew nut,
276,276,3154.jpg,47,cashew nuts,test,"['cashew nuts', 'cashew nut', 'kernels', 'beige, curved, crescent-shaped nuts']",0.03,a cashew nut,
277,277,3155.jpg,45,cashew nuts,test,"['cashew nuts', 'cashew nut', 'kernels', 'beige, curved, crescent-shaped nuts']",0.03,a cashew nut,
278,278,3156.jpg,50,cashew nuts,test,"['cashew nuts', 'cashew nut', 'kernels', 'beige, curved, crescent-shaped nuts']",0.03,a cashew nut,
279,279,3157.jpg,42,cashew nuts,test,"['cashew nuts', 'cashew nut', 'kernels', 'beige, curved, crescent-shaped nuts']",0.03,a cashew nut,
280,280,3158.jpg,43,cashew nuts,test,"['cashew nuts', 'cashew nut', 'kernels', 'beige, curved, crescent-shaped nuts']",0.03,a cashew nut,
281,281,3159.jpg,58,cashew nuts,test,"['cashew nuts', 'cashew nut', 'kernels', 'beige, curved, crescent-shaped nuts']",0.03,a cashew nut,
282,282,316.jpg,25,strawberries,test,"['strawberries', 'strawberry', 'berries', 'small, red fruits']",0.05,a strawberry,
283,283,3160.jpg,13,cashew nuts,test,"['cashew nuts', 'cashew nut', 'kernels', 'beige, curved, crescent-shaped nuts']",0.03,a cashew nut,
284,284,317.jpg,14,strawberries,test,"['strawberries', 'strawberry', 'berries', 'small, red fruits']",0.05,a strawberry,
285,285,319.jpg,12,strawberries,test,"['strawberries', 'strawberry', 'berries', 'small, red fruits']",0.05,a strawberry,
286,286,320.jpg,16,strawberries,test,"['strawberries', 'strawberry', 'berries', 'small, red fruits']",0.05,a strawberry,
287,287,321.jpg,39,strawberries,test,"['strawberries', 'strawberry', 'berries', 'small, red fruits']",0.05,a strawberry,
288,288,322.jpg,27,strawberries,test,"['strawberries', 'strawberry', 'berries', 'small, red fruits']",0.05,a strawberry,
289,289,323.jpg,25,strawberries,test,"['strawberries', 'strawberry', 'berries', 'small, red fruits']",0.05,a strawberry,
290,290,324.jpg,11,strawberries,test,"['strawberries', 'strawberry', 'berries', 'small, red fruits']",0.05,a strawberry,
291,291,325.jpg,33,strawberries,test,"['strawberries', 'strawberry', 'berries', 'small, red fruits']",0.05,a strawberry,
292,292,326.jpg,18,strawberries,test,"['strawberries', 'strawberry', 'berries', 'small, red fruits']",0.05,a strawberry,
293,293,3268.jpg,19,finger foods,test,"['finger foods', 'finger food', 'snack items', 'small food items on a platter']",0.05,a piece of finger food,
294,294,3269.jpg,20,finger foods,test,"['finger foods', 'finger food', 'snack items', 'small food items on a platter']",0.05,a piece of finger food,
295,295,327.jpg,12,strawberries,test,"['strawberries', 'strawberry', 'berries', 'small, red fruits']",0.05,a strawberry,
296,296,3270.jpg,19,finger foods,test,"['finger foods', 'finger food', 'snack items', 'small food items on a platter']",0.05,a piece of finger food,
297,297,3271.jpg,21,finger foods,test,"['finger foods', 'finger food', 'snack items', 'small food items on a platter']",0.05,a piece of finger food,
298,298,3274.jpg,9,finger foods,test,"['finger foods', 'finger food', 'snack items', 'small food items on a platter']",0.05,a piece of finger food,
299,299,3275.jpg,12,finger foods,test,"['finger foods', 'finger food', 'snack items', 'small food items on a platter']",0.05,a piece of finger food,
300,300,3276.jpg,18,finger foods,test,"['finger foods', 'finger food', 'snack items', 'small food items on a platter']",0.05,a piece of finger food,
301,301,3278.jpg,30,finger foods,test,"['finger foods', 'finger food', 'snack items', 'small food items on a platter']",0.05,a piece of finger food,
302,302,3279.jpg,23,finger foods,test,"['finger foods', 'finger food', 'snack items', 'small food items on a platter']",0.05,a piece of finger food,
303,303,328.jpg,35,strawberries,test,"['strawberries', 'strawberry', 'berries', 'small, red fruits']",0.05,a strawberry,
304,304,3281.jpg,15,finger foods,test,"['finger foods', 'finger food', 'snack items', 'small food items on a platter']",0.05,a piece of finger food,
305,305,3282.jpg,31,finger foods,test,"['finger foods', 'finger food', 'snack items', 'small food items on a platter']",0.05,a piece of finger food,
306,306,3283.jpg,37,finger foods,test,"['finger foods', 'finger food', 'snack items', 'small food items on a platter']",0.05,a piece of finger food,
307,307,3284.jpg,16,finger foods,test,"['finger foods', 'finger food', 'snack items', 'small food items on a platter']",0.05,a piece of finger food,
308,308,3285.jpg,34,finger foods,test,"['finger foods', 'finger food', 'snack items', 'small food items on a platter']",0.05,a piece of finger food,
309,309,329.jpg,19,strawberries,test,"['strawberries', 'strawberry', 'berries', 'small, red fruits']",0.05,a strawberry,
310,310,330.jpg,25,strawberries,test,"['strawberries', 'strawberry', 'berries', 'small, red fruits']",0.05,a strawberry,
311,311,3308.jpg,153,green peas,test,"['green peas', 'green pea', 'small, round green vegetables', 'tiny spherical seeds with smooth surfaces']",0.01,a green pea,
312,312,3309.jpg,16,green peas,test,"['green peas', 'green pea', 'small, round green vegetables', 'tiny spherical seeds with smooth surfaces']",0.01,a green pea,
313,313,331.jpg,33,strawberries,test,"['strawberries', 'strawberry', 'berries', 'small, red fruits']",0.05,a strawberry,
314,314,3310.jpg,31,green peas,test,"['green peas', 'green pea', 'small, round green vegetables', 'tiny spherical seeds with smooth surfaces']",0.01,a green pea,
315,315,3311.jpg,154,green peas,test,"['green peas', 'green pea', 'small, round green vegetables', 'tiny spherical seeds with smooth surfaces']",0.01,a green pea,
316,316,3312.jpg,136,green peas,test,"['green peas', 'green pea', 'small, round green vegetables', 'tiny spherical seeds with smooth surfaces']",0.01,a green pea,
317,317,3313.jpg,63,green peas,test,"['green peas', 'green pea', 'small, round green vegetables', 'tiny spherical seeds with smooth surfaces']",0.01,a green pea,
318,318,3314.jpg,92,green peas,test,"['green peas', 'green pea', 'small, round green vegetables', 'tiny spherical seeds with smooth surfaces']",0.01,a green pea,
319,319,3315.jpg,210,green peas,test,"['green peas', 'green pea', 'small, round green vegetables', 'tiny spherical seeds with smooth surfaces']",0.01,a green pea,
320,320,3317.jpg,43,green peas,test,"['green peas', 'green pea', 'small, round green vegetables', 'tiny spherical seeds with smooth surfaces']",0.01,a green pea,
321,321,3318.jpg,185,green peas,test,"['green peas', 'green pea', 'small, round green vegetables', 'tiny spherical seeds with smooth surfaces']",0.01,a green pea,
322,322,3319.jpg,68,green peas,test,"['green peas', 'green pea', 'small, round green vegetables', 'tiny spherical seeds with smooth surfaces']",0.01,a green pea,
323,323,332.jpg,11,strawberries,test,"['strawberries', 'strawberry', 'berries', 'small, red fruits']",0.05,a strawberry,
324,324,3320.jpg,159,green peas,test,"['green peas', 'green pea', 'small, round green vegetables', 'tiny spherical seeds with smooth surfaces']",0.01,a green pea,
325,325,3321.jpg,49,green peas,test,"['green peas', 'green pea', 'small, round green vegetables', 'tiny spherical seeds with smooth surfaces']",0.01,a green pea,
326,326,3322.jpg,450,green peas,test,"['green peas', 'green pea', 'small, round green vegetables', 'tiny spherical seeds with smooth surfaces']",0.01,a green pea,
327,327,3323.jpg,9,green peas,test,"['green peas', 'green pea', 'small, round green vegetables', 'tiny spherical seeds with smooth surfaces']",0.01,a green pea,
328,328,3324.jpg,56,green peas,test,"['green peas', 'green pea', 'small, round green vegetables', 'tiny spherical seeds with smooth surfaces']",0.01,a green pea,
329,329,3326.jpg,122,green peas,test,"['green peas', 'green pea', 'small, round green vegetables', 'tiny spherical seeds with smooth surfaces']",0.01,a green pea,
330,330,3327.jpg,33,green peas,test,"['green peas', 'green pea', 'small, round green vegetables', 'tiny spherical seeds with smooth surfaces']",0.01,a green pea,
331,331,3328.jpg,99,green peas,test,"['green peas', 'green pea', 'small, round green vegetables', 'tiny spherical seeds with smooth surfaces']",0.01,a green pea,
332,332,3329.jpg,178,green peas,test,"['green peas', 'green pea', 'small, round green vegetables', 'tiny spherical seeds with smooth surfaces']",0.01,a green pea,
333,333,333.jpg,32,strawberries,test,"['strawberries', 'strawberry', 'berries', 'small, red fruits']",0.05,a strawberry,
334,334,3330.jpg,57,green peas,test,"['green peas', 'green pea', 'small, round green vegetables', 'tiny spherical seeds with smooth surfaces']",0.01,a green pea,
335,335,3331.jpg,133,green peas,test,"['green peas', 'green pea', 'small, round green vegetables', 'tiny spherical seeds with smooth surfaces']",0.01,a green pea,
336,336,3332.jpg,66,green peas,test,"['green peas', 'green pea', 'small, round green vegetables', 'tiny spherical seeds with smooth surfaces']",0.01,a green pea,
337,337,3333.jpg,113,green peas,test,"['green peas', 'green pea', 'small, round green vegetables', 'tiny spherical seeds with smooth surfaces']",0.01,a green pea,
338,338,3334.jpg,146,green peas,test,"['green peas', 'green pea', 'small, round green vegetables', 'tiny spherical seeds with smooth surfaces']",0.01,a green pea,
339,339,3335.jpg,350,green peas,test,"['green peas', 'green pea', 'small, round green vegetables', 'tiny spherical seeds with smooth surfaces']",0.01,a green pea,
340,340,3336.jpg,72,green peas,test,"['green peas', 'green pea', 'small, round green vegetables', 'tiny spherical seeds with smooth surfaces']",0.01,a green pea,
341,341,3337.jpg,295,green peas,test,"['green peas', 'green pea', 'small, round green vegetables', 'tiny spherical seeds with smooth surfaces']",0.01,a green pea,
342,342,3338.jpg,258,green peas,test,"['green peas', 'green pea', 'small, round green vegetables', 'tiny spherical seeds with smooth surfaces']",0.01,a green pea,
343,343,3339.jpg,25,sea shells,test,"['sea shells', 'sea shell', 'conch', 'curved, irregular objects with ridged surfaces', 'white, pink or brown curvy objects']",0.05,a sea shell,
344,344,334.jpg,35,strawberries,test,"['strawberries', 'strawberry', 'berries', 'small, red fruits']",0.05,a strawberry,
345,345,3341.jpg,36,sea shells,test,"['sea shells', 'sea shell', 'conch', 'curved, irregular objects with ridged surfaces', 'white, pink or brown curvy objects']",0.05,a sea shell,
346,346,3342.jpg,12,sea shells,test,"['sea shells', 'sea shell', 'conch', 'curved, irregular objects with ridged surfaces', 'white, pink or brown curvy objects']",0.05,a sea shell,
347,347,335.jpg,12,strawberries,test,"['strawberries', 'strawberry', 'berries', 'small, red fruits']",0.05,a strawberry,
348,348,336.jpg,16,strawberries,test,"['strawberries', 'strawberry', 'berries', 'small, red fruits']",0.05,a strawberry,
349,349,337.jpg,13,strawberries,test,"['strawberries', 'strawberry', 'berries', 'small, red fruits']",0.05,a strawberry,
350,350,339.jpg,18,strawberries,test,"['strawberries', 'strawberry', 'berries', 'small, red fruits']",0.05,a strawberry,
351,351,340.jpg,14,strawberries,test,"['strawberries', 'strawberry', 'berries', 'small, red fruits']",0.05,a strawberry,
352,352,341.jpg,13,strawberries,test,"['strawberries', 'strawberry', 'berries', 'small, red fruits']",0.05,a strawberry,
353,353,342.jpg,63,strawberries,test,"['strawberries', 'strawberry', 'berries', 'small, red fruits']",0.05,a strawberry,
354,354,3424.jpg,12,crab cakes,test,"['crab cakes', 'crab cake', 'seafood patties', 'round, golden-brown patties made from crab meat and breadcrumbs']",0.03,a crab cake,
355,355,343.jpg,16,strawberries,test,"['strawberries', 'strawberry', 'berries', 'small, red fruits']",0.05,a strawberry,
356,356,344.jpg,43,strawberries,test,"['strawberries', 'strawberry', 'berries', 'small, red fruits']",0.05,a strawberry,
357,357,345.jpg,63,strawberries,test,"['strawberries', 'strawberry', 'berries', 'small, red fruits']",0.05,a strawberry,
358,358,346.jpg,11,strawberries,test,"['strawberries', 'strawberry', 'berries', 'small, red fruits']",0.05,a strawberry,
359,359,347.jpg,41,strawberries,test,"['strawberries', 'strawberry', 'berries', 'small, red fruits']",0.05,a strawberry,
360,360,348.jpg,27,strawberries,test,"['strawberries', 'strawberry', 'berries', 'small, red fruits']",0.05,a strawberry,
361,361,349.jpg,39,strawberries,test,"['strawberries', 'strawberry', 'berries', 'small, red fruits']",0.05,a strawberry,
362,362,3493.jpg,45,red beans,test,"['red beans', 'red bean', 'kidney beans', 'small, oval-shaped legumes', 'smooth seeds with a glossy surface']",0.01,a red bean,
363,363,3494.jpg,37,red beans,test,"['red beans', 'red bean', 'kidney beans', 'small, oval-shaped legumes', 'smooth seeds with a glossy surface']",0.01,a red bean,
364,364,3495.jpg,107,red beans,test,"['red beans', 'red bean', 'kidney beans', 'small, oval-shaped legumes', 'smooth seeds with a glossy surface']",0.01,a red bean,
365,365,3496.jpg,103,red beans,test,"['red beans', 'red bean', 'kidney beans', 'small, oval-shaped legumes', 'smooth seeds with a glossy surface']",0.01,a red bean,
366,366,3497.jpg,161,red beans,test,"['red beans', 'red bean', 'kidney beans', 'small, oval-shaped legumes', 'smooth seeds with a glossy surface']",0.01,a red bean,
367,367,3498.jpg,96,red beans,test,"['red beans', 'red bean', 'kidney beans', 'small, oval-shaped legumes', 'smooth seeds with a glossy surface']",0.01,a red bean,
368,368,3499.jpg,91,red beans,test,"['red beans', 'red bean', 'kidney beans', 'small, oval-shaped legumes', 'smooth seeds with a glossy surface']",0.01,a red bean,
369,369,350.jpg,17,strawberries,test,"['strawberries', 'strawberry', 'berries', 'small, red fruits']",0.05,a strawberry,
370,370,3500.jpg,15,red beans,test,"['red beans', 'red bean', 'kidney beans', 'small, oval-shaped legumes', 'smooth seeds with a glossy surface']",0.01,a red bean,
371,371,3501.jpg,60,red beans,test,"['red beans', 'red bean', 'kidney beans', 'small, oval-shaped legumes', 'smooth seeds with a glossy surface']",0.01,a red bean,
372,372,3502.jpg,70,red beans,test,"['red beans', 'red bean', 'kidney beans', 'small, oval-shaped legumes', 'smooth seeds with a glossy surface']",0.01,a red bean,
373,373,351.jpg,41,strawberries,test,"['strawberries', 'strawberry', 'berries', 'small, red fruits']",0.05,a strawberry,
374,374,3643.jpg,59,cashew nuts,test,"['cashew nuts', 'cashew nut', 'kernels', 'beige, curved, crescent-shaped nuts']",0.03,a cashew nut,
375,375,3644.jpg,13,cashew nuts,test,"['cashew nuts', 'cashew nut', 'kernels', 'beige, curved, crescent-shaped nuts']",0.03,a cashew nut,
376,376,3645.jpg,60,cashew nuts,test,"['cashew nuts', 'cashew nut', 'kernels', 'beige, curved, crescent-shaped nuts']",0.03,a cashew nut,
377,377,3646.jpg,15,cashew nuts,test,"['cashew nuts', 'cashew nut', 'kernels', 'beige, curved, crescent-shaped nuts']",0.03,a cashew nut,
378,378,3647.jpg,87,cashew nuts,test,"['cashew nuts', 'cashew nut', 'kernels', 'beige, curved, crescent-shaped nuts']",0.03,a cashew nut,
379,379,3648.jpg,35,cashew nuts,test,"['cashew nuts', 'cashew nut', 'kernels', 'beige, curved, crescent-shaped nuts']",0.03,a cashew nut,
380,380,3649.jpg,35,cashew nuts,test,"['cashew nuts', 'cashew nut', 'kernels', 'beige, curved, crescent-shaped nuts']",0.03,a cashew nut,
381,381,3650.jpg,14,cashew nuts,test,"['cashew nuts', 'cashew nut', 'kernels', 'beige, curved, crescent-shaped nuts']",0.03,a cashew nut,
382,382,3651.jpg,11,cashew nuts,test,"['cashew nuts', 'cashew nut', 'kernels', 'beige, curved, crescent-shaped nuts']",0.03,a cashew nut,
383,383,3652.jpg,46,cashew nuts,test,"['cashew nuts', 'cashew nut', 'kernels', 'beige, curved, crescent-shaped nuts']",0.03,a cashew nut,
384,384,3653.jpg,65,cashew nuts,test,"['cashew nuts', 'cashew nut', 'kernels', 'beige, curved, crescent-shaped nuts']",0.03,a cashew nut,
385,385,3655.jpg,13,cashew nuts,test,"['cashew nuts', 'cashew nut', 'kernels', 'beige, curved, crescent-shaped nuts']",0.03,a cashew nut,
386,386,3656.jpg,45,cashew nuts,test,"['cashew nuts', 'cashew nut', 'kernels', 'beige, curved, crescent-shaped nuts']",0.03,a cashew nut,
387,387,3657.jpg,24,cashew nuts,test,"['cashew nuts', 'cashew nut', 'kernels', 'beige, curved, crescent-shaped nuts']",0.03,a cashew nut,
388,388,3658.jpg,36,cashew nuts,test,"['cashew nuts', 'cashew nut', 'kernels', 'beige, curved, crescent-shaped nuts']",0.03,a cashew nut,
389,389,3659.jpg,41,cashew nuts,test,"['cashew nuts', 'cashew nut', 'kernels', 'beige, curved, crescent-shaped nuts']",0.03,a cashew nut,
390,390,3693.jpg,36,candy pieces,test,"['candy pieces', 'candy piece', 'sweets', 'small, colorful treats with glossy surfaces']",0.01,a candy piece,
391,391,3694.jpg,34,candy pieces,test,"['candy pieces', 'candy piece', 'sweets', 'small, colorful treats with glossy surfaces']",0.01,a candy piece,
392,392,3695.jpg,16,candy pieces,test,"['candy pieces', 'candy piece', 'sweets', 'small, colorful treats with glossy surfaces']",0.01,a candy piece,
